text,risk_category,risk_severity
The service may use your feedback to improve its products,User content rights risk,low
The service may check your account for compliance with export control regulations,Rule usage enforcement,low
Content you report as inappropriate will be reviewed within 48 hours,Rule usage enforcement,low
The service may use industry-standard encryption for all stored passwords,Data security and Liability,low
The service may limit certain features for accounts with a history of policy violations,Access restriction,low
The service may use trusted sub-processors to handle specific technical functions,Third party dependency risk,low
The service may send you a warning before taking action on a suspected policy violation,Account termination risk,low
The service can reassign your username to another user without your consent,Irrevocable rights,high
The service logs every product you look at and sells that to retailers,Personal data usage,high
Your private calendar events are read and analyzed by the service,Personal data usage,high
The service can report your activity to your employer without your knowledge,Personal data usage,high
You have no right to know which specific data the service holds about you,Personal data usage,high
The service may collect your medical appointment history through calendar sync,Personal data usage,high
The service charges you for data storage you did not knowingly create,Financial commitment risk,high
Your activity on other websites is tracked through hidden code embedded in partner sites,Personal data usage,high
The service can share your data with any company it chooses to enter a partnership with,Third party dependency risk,high
You cannot dispute a charge without first agreeing to binding arbitration,Legal remedy limitation,high
The service may transfer your genetic or biometric data to research companies,Personal data usage,high
The service can intercept your emails if you use their email integration feature,Personal data usage,high
Your account is subject to automated scoring that you cannot see or challenge,Rule usage enforcement,high
The service keeps your data even if you were never a registered user,Personal data usage,high
You agree that the service has no obligation to respond to your data requests,Data security and Liability,high
The service sells your sleep or health data to pharmaceutical companies,Personal data usage,high
Users have no rights over content once it is moderated or removed by the service,User content rights risk,high
The service builds a financial risk profile on you and shares it with lenders,Personal data usage,high
The service may share your real name with anyone who knows your username,Personal data usage,high
The service may publish your submitted reviews even after you request their deletion,User content rights risk,high
Your account data is used to create shadow profiles of people you contact,Personal data usage,high
The service can override parental controls set by account administrators,Rule usage enforcement,high
The service may use your credit card number to link your online and offline activity,Personal data usage,high
You cannot pause your subscription — you must cancel and lose all your data,Account termination risk,high
The service may permanently revoke your access for any reason deemed appropriate by it alone,Account termination risk,high
Your typing is analyzed to detect emotional state and used in content recommendations,Personal data usage,high
The service uses your data to generate synthetic users for product testing,Personal data usage,high
The service may keep a permanent record of all usernames you have ever used,Personal data usage,high
Your data may be retained by a defunct subsidiary even after the service is closed,Personal data usage,high
The service may sell your behavioral profile when you close your account,Personal data usage,high
The service may limit your download speeds if you use more than a set monthly quota,Access restriction,medium
The service may resell your anonymized data to research organizations,Personal data usage,medium
The service may issue service credits instead of cash refunds for outages,Financial commitment risk,medium
The service may share your engagement data with content creators on the platform,Personal data usage,medium
The service may require new consent before allowing access after a policy update,Policy change risk,medium
The service may use your activity to generate automated recommendations for advertisers,Personal data usage,medium
Users who downgrade plans may lose access to content created on premium tiers,User content rights risk,medium
The service may share your support ticket contents with product teams,Personal data usage,medium
The service may use your location to apply local tax rates without disclosure,Personal data usage,medium
The service may use your search queries to improve its paid advertising products,Personal data usage,medium
The service may assign your account to a different legal entity in your region,Jurisdiction risk,medium
The service may prioritize paid users in customer support response times,Change of service risk,medium
The service may use behavioral data to adjust the difficulty of the product for you,Personal data usage,medium
The service may disable features that compete with its own paid offerings,Change of service risk,medium
The service may require a 30-day notice period before you can cancel your subscription,Account termination risk,medium
The service may share your sleep schedule data with third-party marketers,Personal data usage,high
The service may send your usage data to your internet service provider,Third party dependency risk,medium
The service may ask you to verify your identity when logging in from a shared network,Account responsibility,low
